antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"['Education_Category_Bachelor', 'Experience_Category_Entry']",['Salary_Category_Low'],0.11139191290824262,0.33748055987558323,0.09661741835147745,0.8673647469458988,2.5701176603051286,1.0,0.05902481321759153,4.995047884095934,0.687494030030104,0.2742825607064018,0.7998017189817205,0.576827534763272
"['Job_Group_Tech', 'Experience_Category_Senior']",['Salary_Category_High'],0.14618973561430793,0.3318429237947123,0.12402799377916018,0.848404255319149,2.556644106245871,1.0,0.07551596448413225,4.407492292161198,0.713111899092679,0.3503569467325645,0.7731136134308123,0.6110796906355558
"['Experience_Category_Entry', 'Country_UK']",['Salary_Category_Low'],0.03654743390357698,0.33748055987558323,0.031493001555209954,0.8617021276595745,2.553338562604177,1.0,0.01915895309941492,4.790525182438093,0.6314331549736445,0.09194097616345062,0.7912546199180902,0.4775100500049025
"['Education_Category_PhD', 'Country_Canada']",['Salary_Category_High'],0.039074650077760495,0.3318429237947123,0.03188180404354588,0.8159203980099504,2.4587548490704068,1.0,0.018915157915486557,3.6297181707368367,0.6174153644227116,0.09403669724770643,0.7244965165444238,0.4559976916821867
"['Education_Category_Bachelor', 'Experience_Category_Entry', 'Job_Group_Tech']",['Salary_Category_Low'],0.0812597200622084,0.33748055987558323,0.06648522550544324,0.8181818181818182,2.42438206954336,1.0,0.039061649683515984,3.6438569206842932,0.6394884092725819,0.18874172185430463,0.7255655142979087,0.5075932132383746
['Job_Group_Marketing_Sales'],['Salary_Category_Low'],0.0806765163297045,0.33748055987558323,0.06590202177293934,0.8168674698795181,2.4204874798734104,1.0,0.03867526587317903,3.6177048375214866,0.6383608076944428,0.18708609271523177,0.7235816505458453,0.5060719837876853
"['Experience_Category_Entry', 'Job_Group_Tech']",['Salary_Category_Low'],0.1005054432348367,0.33748055987558323,0.0812597200622084,0.8085106382978723,2.3957250710854003,1.0,0.04734108680877206,3.4598237428719534,0.6476857802600298,0.22779291553133516,0.7109679352712016,0.5246470242180605
"['Education_Category_PhD', 'Country_Australia']",['Salary_Category_High'],0.041990668740279936,0.3318429237947123,0.03265940902021773,0.7777777777777778,2.3438130573455704,1.0,0.018725102733348008,3.006706842923795,0.598475185528757,0.09572649572649572,0.6674102091617367,0.43809802772895917
"['Experience_Category_Mid', 'Education_Category_Master']",['Salary_Category_Medium'],0.11800155520995334,0.3306765163297045,0.09136858475894245,0.7742998352553542,2.341562817491794,1.0,0.05234824156062779,2.9655427342180243,0.6495870830382809,0.25571273122959737,0.6627935964430851,0.525303944670593
['Education_Category_PhD'],['Salary_Category_High'],0.20917573872472783,0.3318429237947123,0.1619362363919129,0.7741635687732342,2.3329217327296523,1.0,0.09252274766658039,2.958588534966624,0.7224777816731413,0.42717948717948706,0.6620009885858354,0.6310770978019656
"['Education_Category_PhD', 'Country_China']",['Salary_Category_High'],0.04354587869362364,0.3318429237947123,0.03363141524105754,0.7723214285714285,2.3273704912544977,1.0,0.019181023536155604,2.934650687646753,0.596296818459514,0.09840728100113764,0.6592439419759756,0.43683441082935803
"['Experience_Category_Senior', 'Country_Canada']",['Salary_Category_High'],0.048989113530326596,0.3318429237947123,0.0375194401244168,0.7658730158730158,2.3079383676923215,1.0,0.02126274945640212,2.853823444131059,0.5959057613360503,0.10928652321630802,0.6495928989382581,0.4394684352944458
"['Education_Category_PhD', 'Country_UK']",['Salary_Category_High'],0.04471228615863142,0.3318429237947123,0.03382581648522551,0.7565217391304347,2.2797585390081756,1.0,0.018988360716799414,2.744216562986003,0.5876313979762257,0.09869540555870673,0.6355972726467722,0.4292274776495759
"['Country_Australia', 'Experience_Category_Senior']",['Salary_Category_High'],0.05034992223950233,0.3318429237947123,0.03790824261275272,0.7528957528957528,2.268831724016258,1.0,0.021199977203959854,2.703948167768273,0.5888953625698763,0.11010728402032748,0.6301704256315834,0.4335656268872437
"['Job_Group_Management', 'Experience_Category_Mid']",['Salary_Category_Medium'],0.09467340590979782,0.3306765163297045,0.06940124416796267,0.73305954825462,2.2168479225289626,1.0,0.03809497211264267,2.5073887426725676,0.6063105508469224,0.19497542326597486,0.6011787151384739,0.4714680457322483
['Experience_Category_Senior'],['Salary_Category_High'],0.25408242612752724,0.3318429237947123,0.1848755832037325,0.7276205049732211,2.1926654233053595,1.0,0.10056012803271987,2.453037355618851,0.729214710822483,0.46097915656810473,0.5923421232418531,0.6423691277062942
"['Country_UK', 'Experience_Category_Senior']",['Salary_Category_High'],0.052099533437014,0.3318429237947123,0.03790824261275272,0.7276119402985074,2.1926396138813837,1.0,0.020619381108673618,2.452960224972837,0.5738246986811384,0.10955056179775279,0.5923293048866808,0.420923720588621
"['Experience_Category_Mid', 'Job_Group_Tech', 'Education_Category_Master']",['Salary_Category_Medium'],0.0791213063763608,0.3306765163297045,0.05657076205287714,0.714987714987715,2.1621968288634954,1.0,0.03040720409288691,2.3484022228776746,0.5836897074793956,0.1601541001651073,0.5741785669174574,0.4430317763651097
"['Country_China', 'Experience_Category_Senior']",['Salary_Category_High'],0.05151632970451011,0.3318429237947123,0.03674183514774495,0.7132075471698114,2.1492323506980138,1.0,0.019646505675427927,2.3297582262421224,0.5637604635350075,0.1060011217049916,0.5707709114464677,0.41196405477998477
"['Experience_Category_Mid', 'Country_UK']",['Salary_Category_Medium'],0.05034992223950233,0.3306765163297045,0.034992223950233284,0.694980694980695,2.101693530264959,1.0,0.01834268706660314,2.1943643325393234,0.5519856704196521,0.10112359550561797,0.5442871609005795,0.4004004004004004
"['Experience_Category_Mid', 'Country_China']",['Salary_Category_Medium'],0.053265940902021774,0.3306765163297045,0.03693623639191291,0.6934306569343066,2.0970060548324945,1.0,0.01932244061540843,2.1832694586388213,0.5525624121906408,0.10644257703081234,0.5419713329277006,0.40256482876109806
"['Experience_Category_Mid', 'Country_USA']",['Salary_Category_Medium'],0.056181959564541216,0.3306765163297045,0.038297045101088646,0.6816608996539791,2.061413091017089,1.0,0.019718990431709833,2.1025487693556015,0.5455456983485547,0.10987172336865589,0.5243867754342343,0.3987375632896586
